id,text,Effect,Subject.name,Subject.properties,Subject.properties.logOp,Resource.name,Resource.properties,Resource.properties.logOp,Actions,Condition.particle,Condition.logOp,Condition.subjects,Condition.subjects.logOp,Condition.resources,Condition.resources.logOp,Condition.envNetworks,Condition.envNetworks.logOp,Condition.envDatetimes,Condition.envDatetimes.logOp
1,Graduate students may download theses.,Allow,students,graduate,,theses,,,download,,,,,,,,,,
2,Faculty members can access journals.,Allow,members,faculty,,journals,,,access,,,,,,,,,,
3,Research assistants are allowed to read archives.,Allow,Research assistants,,,archives,,,read,,,,,,,,,,
4,Librarians may modify catalogs.,Allow,Librarians,,,catalogs,,,modify,,,,,,,,,,
5,Visiting scholars can view manuscripts.,Allow,scholars,visiting,,manuscripts,,,view,,,,,,,,,,
6,Undergraduate students may not delete journals.,Deny,students,Undergraduate,,journals,,,delete,,,,,,,,,,
7,Guest users are not allowed to access archives.,Deny,users,guest,,archives,,,access,,,,,,,,,,
8,Temporary staff cannot modify manuscripts.,Deny,staff,temporary,,manuscripts,,,modify,,,,,,,,,,
9,Alumni may not download theses.,Deny,Alumni,,,theses,,,download,,,,,,,,,,
10,External contractors are not permitted to read catalogs.,Deny,contractors,External,,catalogs,,,read,,,,,,,,,,
11,Graduate students may download theses.,Allow,students,graduate,,theses,,,download,,,,,,,,,,
12,Faculty members can access journals.,Allow,members,faculty,,journals,,,access,,,,,,,,,,
13,Research assistants are allowed to read archives.,Allow,Research assistants,,,archives,,,read,,,,,,,,,,
14,Librarians may modify catalogs.,Allow,Librarians,,,catalogs,,,modify,,,,,,,,,,
15,Manuscripts can be viewed by visiting scholars.,Allow,scholars,visiting,,manuscripts,,,view,,,,,,,,,,
16,Journals may not be deleted by undergraduate students.,Deny,students,Undergraduate,,journals,,,delete,,,,,,,,,,
17,Archives should not be accessed by guest users.,Deny,users,guest,,archives,,,access,,,,,,,,,,
18,Manuscripts cannot be modified by temporary staff.,Deny,staff,temporary,,manuscripts,,,modify,,,,,,,,,,
19,Theses may not be downloaded by alumni.,Deny,Alumni,,,theses,,,download,,,,,,,,,,
20,Catalogs cannot be read by external contractors.,Deny,contractors,External,,catalogs,,,read,,,,,,,,,,
21,Physicians may access patient records.,Allow,Physicians,,,records,patient,,access,,,,,,,,,,
22,Lab technicians can update physician reports.,Allow,technicians,lab,,reports,physician,,update,,,,,,,,,,
23,Receptionists are allowed to read appointments.,Allow,Receptionists,,,appointments,,,read,,,,,,,,,,
24,Pharmacists may modify prescriptions.,Allow,Pharmacists,,,prescriptions,,,modify,,,,,,,,,,
25,Radologists can view scans.,Allow,Radologists,,,scans,,,view,,,,,,,,,,
26,Interns may not delete medical records.,Deny,Interns,,,records,medical,,delete,,,,,,,,,,
27,Visitors are not allowed to access prescriptions.,Deny,visitors,,,prescriptions,,,access,,,,,,,,,,
28,Nurses cannot modify physician reports.,Deny,nurses,,,reports,physician,,modify,,,,,,,,,,
29,Volunteers may not view scans of patients.,Deny,volunteers,,,scans,of patients,,view,,,,,,,,,,
30,Cleaners are not permitted to read appointments.,Deny,cleaners,,,appointments,,,read,,,,,,,,,,
31,Patient records may be accessed by physicians.,Allow,Physicians,,,records,patient,,access,,,,,,,,,,
32,Physician reports can be updated by lab technicians.,Allow,technicians,lab,,reports,physician,,update,,,,,,,,,,
33,Appointments can be read by receptionists.,Allow,Receptionists,,,appointments,,,read,,,,,,,,,,
34,Prescriptions may be modified by pharmacists.,Allow,Pharmacists,,,prescriptions,,,modify,,,,,,,,,,
35,Scans can be viewed by radiologists.,Allow,Radologists,,,scans,,,view,,,,,,,,,,
36,Medical records may not be deleted by interns.,Deny,Interns,,,records,medical,,delete,,,,,,,,,,
37,Prescriptions cannot be accessed by visitors.,Deny,visitors,,,prescriptions,,,access,,,,,,,,,,
38,Physician reports cannot be modified by nurses.,Deny,nurses,,,reports,physician,,modify,,,,,,,,,,
39,Scans of patients may not be viewed by volunteers.,Deny,volunteers,,,scans,of patients,,view,,,,,,,,,,
40,Appointments cannot be read by cleaners.,Deny,cleaners,,,appointments,,,read,,,,,,,,,,
41,Senior faculty members with active research grants may access journals and archives classified as peer-reviewed and restricted.,Allow,faculty members,Senior | with active research grants,and,journals,classified as peer-reviewed | restricted,and,access,,,,,,,,,,
41,Senior faculty members with active research grants may access journals and archives classified as peer-reviewed and restricted.,Allow,faculty members,Senior | with active research grants,and,archives,classified as peer-reviewed | restricted,and,access,,,,,,,,,,
42,Graduate students enrolled in doctoral programs can download theses marked confidential and unpublished manuscripts.,Allow,students,Graduate | enrolled in doctoral programs,and,theses,unpublished,,download,,,,,,,,,,
42,Graduate students enrolled in doctoral programs can download theses marked confidential and unpublished manuscripts.,Allow,students,Graduate | enrolled in doctoral programs,and,manuscripts,marked confidential,,download,,,,,,,,,,
43,Librarians assigned to digital collections are allowed to modify archived catalogs and indexes labeled institution-wide.,Allow,Librarians,assigned to digital collections,,catalogs,archived,,modify,,,,,,,,,,
43,Librarians assigned to digital collections are allowed to modify archived catalogs and indexes labeled institution-wide.,Allow,Librarians,assigned to digital collections,,indexes,labeled institution-wide,,modify,,,,,,,,,,
44,Research assistants with verified campus accounts may read academic and licensed datasets and journals.,Allow,Research assistants,with verified campus accounts,,datasets,academic | licensed,and,read,,,,,,,,,,
44,Research assistants with verified campus accounts may read academic and licensed datasets and journals.,Allow,Research assistants,with verified campus accounts,,journals,academic | licensed,and,read,,,,,,,,,,
45,Visiting scholars holding temporary affiliations can view historical manuscripts and encrypted repositories.,Allow,scholars,visiting | holding temporary affiliations,and,manuscripts,historical,,view,,,,,,,,,,
45,Visiting scholars holding temporary affiliations can view historical manuscripts and encrypted repositories.,Allow,scholars,visiting | holding temporary affiliations,and,repositories,encrypted,,view,,,,,,,,,,
46,Journals and archives classified as peer-reviewed and restricted are accessible to senior faculty members who hold active research grants.,Allow,faculty members,Senior | who hold active research grants,and,journals,classified as peer-reviewed | restricted,and,access,,,,,,,,,,
46,Journals and archives classified as peer-reviewed and restricted are accessible to senior faculty members who hold active research grants.,Allow,faculty members,Senior | who hold active research grants,and,archives,classified as peer-reviewed | restricted,and,access,,,,,,,,,,
47,Graduate students enrolled in doctoral programs may download theses and manuscripts marked as confidential or unpublished.,Allow,students,Graduate | enrolled in doctoral programs,and,theses,marked as confidential | unpublished,or,download,,,,,,,,,,
47,Graduate students enrolled in doctoral programs may download theses and manuscripts marked as confidential or unpublished.,Allow,students,Graduate | enrolled in doctoral programs,and,manuscripts,marked as confidential | unpublished.,or,download,,,,,,,,,,
48,Catalogues and indexes labelled as archived or institution-wide may be modified by librarians who are assigned to digital collections.,Allow,Librarians,assigned to digital collections,,catalogues,archived | institution-wide,or,modify,,,,,,,,,,
48,Catalogues and indexes labelled as archived or institution-wide may be modified by librarians who are assigned to digital collections.,Allow,Librarians,assigned to digital collections,,indexes,archived | institution-wide,or,modify,,,,,,,,,,
